uhr;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12
tag1 11uhr;25;0;26;27;0;0;0;1;26;25;;
tag1 13uhr;2;26;9;0;26;1;28;25;0;0;;
tag1 15uhr;25;0;;26;0;4;30;30;;0;;
tag1 17uhr;1;26;2;2;26;28;1;1;12;25;;
tag2 11uhr;1;28;0;;;0;0;0;;0;;
tag2 13uhr;29;0;26;27;0;2;30;0;;25;;
tag2 15uhr;0;26;2;2;27;;29;2;;;;
tag2 17uhr;25;0;25;25;0;0;26;27;;;;
tag3 11uhr;1;1;25;26;2;28;4;30;0;25;;
tag3 13uhr;27;30;0;3;26;4;28;3;27;0;;
tag3 15uhr;1;0;32;26;0;27;0;27;0;25;26;0
tag3 17uhr;28;26;0;10;26;1;27;2;25;0;0;25
tag4 11uhr;1;1;25;29;0;25;1;27;;0;;
tag4 13uhr;25;27;1;0;30;1;25;3;0;25;;
tag4 15uhr;1;1;25;27;0;28;0;29;25;1;;
tag4 17uhr;27;27;2;2;28;3;26;0;0;25;;
tag5 11uhr;;0;;31;0;1;28;0;27;0;0;31
tag5 13uhr;0;;;0;25;30;0;25;0;27;27;0
tag5 15uhr;27;1;30;28;4;1;26;0;25;0;0;26
tag5 17uhr;1;25;0;0;27;29;2;27;0;25;27;0
